Serial No,Status,location_id,Declaration Serial No,,,
SFOC2511NJBA,In store,11,CI-20768,,,
SFOC2511NJBH,In store,11,CI-20768,,,
SFOC2511NJBK,In store,11,CI-20768,,,
SFOC2511NJBQ,In store,11,CI-20768,,,
SFOC2446N8RR,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2511NJCA,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2514NCTL,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2520N3HN,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2520N3JB,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2522NZLE,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2522NZLH,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2522NZLL,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2522NZLP,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2522NZLR,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2524NZUN,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2524NZUP,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2530P8TG,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2530P8TN,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2530P8UK,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2530P8VV,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2522NZLD,At a Facility,27,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2520N3JJ,At a Facility,27,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2520N3HW,In store,10,Decl-AAA13414/CI-S2101716/210131,,,
SFOC2514NCU8,In store,10,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT53,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT5C,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2418ZT0X,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2450ZT2R,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT02,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2438ZT12,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2438ZT1M,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT3H,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT58,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2418ZT24,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT4A,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2438ZT0N,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT1M,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2438ZT09,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT3D,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT48,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT1P,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT5D,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT3Z,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT55,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2438ZT0R,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT1X,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT38,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT5A,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT22,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2438ZT15,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2438ZT0D,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT5B,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT52,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2438ZT16,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2438ZT0H,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT1V,In store,11,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT56,At a Facility,27,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT0A,At a Facility,27,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2418ZT18,At a Facility,27,Decl-AAA13414/CI-S2101716/210131,,,
POG2438ZT17,At a Facility,27,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2438ZT14,In store,10,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2438ZT1J,In store,10,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2418ZT3W,In store,10,Decl-AAA13414/CI-S2101716/210131,,,
SPOG2448ZT3N,In store,10,Decl-AAA13414/CI-S2101716/210131,,,
SFBN2446A027 ,In store,12,CI-20768,,,
SFBN2445A852 ,In store,12,CI-20768,,,
SFBN2447A195 ,In store,12,CI-20768,,,
SFBN2447A137 ,In store,12,CI-20768,,,
SFBN2446A043 ,In store,12,CI-20768,,,
SFBN2446A519 ,In store,12,CI-20768,,,
SFBN2446A773 ,In store,12,CI-20768,,,
SFBN2446A793 ,In store,12,CI-20768,,,
SFBN2447A156 ,In store,12,CI-20768,,,
SFBN2446A257 ,In store,12,CI-20768,,,
SFBN2446A790 ,In store,12,CI-20768,,,
SFBN2446A484 ,In store,12,CI-20768,,,
SFBN2446A426 ,In store,12,CI-20768,,,
SFBN2447A191 ,In store,12,CI-20768,,,
SFBN2446A409 ,In store,12,CI-20768,,,
SFBN2446A025 ,In store,12,CI-20768,,,
SFBN2446A518 ,In store,12,CI-20768,,,
SFBN2445A735 ,In store,12,CI-20768,,,
SFBN2446A031 ,In store,12,CI-20768,,,
SFBN2446A800 ,In store,12,CI-20768,,,
SFBN2446A792 ,In store,12,CI-20768,,,
SFBN2446A884 ,In store,12,CI-20768,,,
SFBN2445A616 ,In store,12,CI-20768,,,
SFBN2447A103 ,In store,12,CI-20768,,,
SFBN2446A011 ,In store,12,CI-20768,,,
SFBN2446A520 ,In store,12,CI-20768,,,
SFBN2446A522 ,In store,12,CI-20768,,,
SFBN2447A163 ,In store,12,CI-20768,,,
SFBN2446A120 ,In store,12,CI-20768,,,
SFBN2446A802 ,In store,12,CI-20768,,,
SFBN2447A135 ,In store,12,CI-20768,,,
SFBN2446A930 ,In store,12,CI-20768,,,
SFBN2445A842 ,In store,12,CI-20768,,,
SFBN2447A197 ,In store,12,CI-20768,,,
SFBN2446A794 ,In store,12,CI-20768,,,
SFBN2446A823 ,In store,12,CI-20768,,,
SFBN2446A838 ,In store,12,CI-20768,,,
SFBN2446A622 ,In store,12,CI-20768,,,
SFBN2446A028 ,In store,12,CI-20768,,,
SFBN2446A787 ,In store,12,CI-20768,,,
SFBN2446A770 ,In store,12,CI-20768,,,
SFBN2445A793 ,In store,12,CI-20768,,,
SFBN2445A878 ,In store,12,CI-20768,,,
SFBN2446A918 ,In store,12,CI-20768,,,
SFBN2447A142 ,In store,12,CI-20768,,,
SFBN2447A153 ,In store,12,CI-20768,,,
